customerID,churn_prob,customer_worth,email
614,0.000550359,4860.35,sureshravi@gmail.com
2185,0.999993477,179.25,sureshravi@gmail.com
325,0.000879864,4176.7,sureshravi@gmail.com
1547,0.000646118,1128.1,sureshravi@gmail.com
2545,0.000630647,876.75,sureshravi@gmail.com
1481,0.00034363,1309.15,sureshravi@gmail.com
2761,0.000334617,595.5,sureshravi@gmail.com
1684,0.000383001,426.65,sureshravi@gmail.com
2524,0.000443951,873.4,sureshravi@gmail.com
150,0.000878747,1071.4,sureshravi@gmail.com
2127,0.000272997,44.45,sureshravi@gmail.com
2305,0.000549623,6733.15,sureshravi@gmail.com
1814,0.000601049,75.5,sureshravi@gmail.com
2928,0.000502387,69.9,sureshravi@gmail.com
45,0.000873746,981.45,sureshravi@gmail.com
1215,0.99999879,1532.45,sureshravi@gmail.com
1646,0.999998259,3541.35,sureshravi@gmail.com
1847,0.000370592,279.2,sureshravi@gmail.com
2432,0.999986215,47.5,sureshravi@gmail.com
2845,0.996776042,347.65,sureshravi@gmail.com
104,0.000881971,3027.25,sureshravi@gmail.com
1264,0.999986291,6127.6,sureshravi@gmail.com
415,0.000887889,3545.05,sureshravi@gmail.com
1420,0.000607435,1177.05,sureshravi@gmail.com
735,0.00094354,2423.4,sureshravi@gmail.com
483,0.000609975,1671.6,sureshravi@gmail.com
2667,0.000665636,5196.1,sureshravi@gmail.com
738,0.000577122,7085.5,sureshravi@gmail.com
2878,0.999986278,6010.05,sureshravi@gmail.com
904,0.000420452,6068.65,sureshravi@gmail.com
2376,0.00088075,7904.25,sureshravi@gmail.com
2117,0.999996613,54.35,sureshravi@gmail.com
2396,0.000412532,2835.5,sureshravi@gmail.com
776,0.000767955,8065.65,sureshravi@gmail.com
2418,0.000495678,389.8,sureshravi@gmail.com
1572,0.000556041,20.05,sureshravi@gmail.com
182,0.000439994,45.3,sureshravi@gmail.com
1075,0.000541809,21.1,sureshravi@gmail.com
1946,0.000656187,1500.95,sureshravi@gmail.com
909,0.000577999,170.9,sureshravi@gmail.com
2614,0.999986315,80.2,sureshravi@gmail.com
1340,0.999999538,7133.25,sureshravi@gmail.com
2415,0.000536018,507.9,sureshravi@gmail.com
995,0.000430352,268.45,sureshravi@gmail.com
1369,0.000327766,4484.05,sureshravi@gmail.com
2557,0.000817519,3713.95,sureshravi@gmail.com
47,0.000705878,97,sureshravi@gmail.com
1524,0.000215436,335.4,sureshravi@gmail.com
2536,0.000716508,6474.45,sureshravi@gmail.com
827,0.999987921,644.35,sureshravi@gmail.com
355,0.992784626,840.1,sureshravi@gmail.com
2990,0.000879663,19.2,sureshravi@gmail.com
162,0.999992641,1592.35,sureshravi@gmail.com
996,0.999996727,2917.5,sureshravi@gmail.com
835,0.999997627,292.8,sureshravi@gmail.com
2779,0.000492796,966.25,sureshravi@gmail.com
72,0.000664321,1090.65,sureshravi@gmail.com
2151,0.000349014,1737.45,sureshravi@gmail.com
118,0.999986278,1064.65,sureshravi@gmail.com
2648,0.000825324,40.9,sureshravi@gmail.com
2343,0.00130558,3211.9,sureshravi@gmail.com
1931,0.000379792,76.95,sureshravi@gmail.com
